Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2,-0.03430754490883652,13.34192691028287,-118.4784706457369
2.126653143274323,-0.05023432283711591,13.7810769103169,-119.8913842356239
2.261326795899278,-0.05835061273283765,14.19033603384713,-121.4004203738973
2.404528869234826,-0.06448707736716737,14.57808668942002,-122.7908945861526
2.556799438926046,-0.04964566686324157,14.92758240006197,-124.4456447146261
2.718712781757051,-0.04937877419553535,15.27864511417177,-126.0576865569768
2.890879541491856,-0.05640954577133196,15.62671471617937,-127.7694561141358
3.073949031870542,-0.03534465332108479,15.93783903868025,-129.4249312585024
3.268611685446275,-0.04426716334214881,16.25579304881248,-131.1009773658384
3.475601657498752,-0.04521415231934325,16.54898401186535,-132.8685455509112
3.695699594844581,-0.04540762279069699,16.82995795432177,-134.5254997836873
3.929735579986936,-0.06980081395747202,17.11098632217707,-136.3017633327511
4.178592261708078,-0.04956921651538473,17.34201744581333,-138.0344101541327
4.443208183911623,-0.06502089839638267,17.58685499785341,-139.7892957224714
4.724581325268925,-0.04659615233419021,17.7847510516281,-141.4480765183214
5.023772863019159,-0.03553589888530079,17.99186755433294,-143.1154774385044
5.341911175117971,-0.05594728549431814,18.18673948268214,-144.7491761838583
5.680196095828427,-0.05325224345384589,18.35933316214199,-146.4017569415625
6.039903440804031,-0.02965422574395129,18.4977759917029,-147.9582435926625
6.422389818729648,-0.03472431451817323,18.650626310169,-149.4964352163588
6.829097747667202,-0.04604245109487173,18.7910956135822,-151.0145136231922
7.261561095402028,-0.03927534382011062,18.90529861691362,-152.5468588134953
7.72141086430763,-0.03695517805064705,19.01963783842882,-153.8354061143214
8.210381342546157,-0.04520378443265557,19.12098308713176,-155.2185303032412
8.730316644803322,-0.03965204780234513,19.20962854917809,-156.6256323601227
9.283177667225555,-0.03561848383135947,19.28609611821307,-157.7864570270306
9.871049482789614,-0.04734663990697983,19.37237056641265,-159.2321923246697
10.49614920499545,-0.05554610129204007,19.4463839751336,-160.2967280591725
11.16083434953993,-0.04643955303766836,19.50271368443065,-161.2594014675179
11.86761172550656,-0.03701717061306084,19.55210985791889,-162.454214645465
12.61914688960386,-0.04931446702111957,19.60836390336243,-163.3329762725402
13.41827419910822,-0.04605537252782776,19.65384700674397,-164.3160617192393
14.26800750142513,-0.04082521129659154,19.67894856175815,-165.2277198745228
15.17155150058367,-0.04536500870793993,19.71819685576659,-166.1551274417585
16.13231384353227,-0.03531481673620235,19.75335418180982,-166.8913377574865
17.15391797181789,-0.03073670561718162,19.76319147688507,-167.6955528739606
18.24021678711819,-0.02424506649887526,19.79759444412973,-168.5515774309554
19.39530718216499,-0.04801984710762628,19.82678231955515,-169.2341938042795
20.62354549186112,-0.03070663038859164,19.83314648021074,-169.8217484710517
21.9295639228637,-0.02947283026395108,19.84847131458863,-170.4351157064069
23.31828802359663,-0.04124459725983184,19.87724829731887,-171.0951487411903
24.79495526057888,-0.03572765749459787,19.88623347384336,-171.6624469485171
26.36513477112815,-0.03278294465550839,19.89502923927538,-172.1519921360573
28.03474836693539,-0.0393919752113583,19.92058098634361,-172.6869874595861
29.81009286772392,-0.03413491625424107,19.92793478969215,-173.2261712552022
31.69786384922228,-0.03096561892461244,19.92621894733125,-173.7239997234809
33.70518089501502,-0.04901650059603926,19.94792623439272,-174.0537641226268
35.83961444750668,-0.03036247528157661,19.93922137748607,-174.5096464172031
38.10921435926496,-0.0420811730215686,19.966199132459,-174.9608528917793
40.52254025242286,-0.02185532066336901,19.95325737643891,-175.4529787730087
43.08869380063764,-0.04086958980640581,19.93099381827964,-175.1190249547533
45.81735305535549,-0.04677892636933329,19.74670173542265,-175.9059909030637
48.71880894584054,-0.04656816802510965,19.71644010938609,-176.5831482921222
51.80400409062645,-0.060598376807484,19.73954959588686,-176.2506178501632
55.08457406676332,-0.0730268437065964,19.88346597990353,-175.8116646769799
58.57289129250475,-0.03852697975385139,20.03538032382746,-176.7892710633836
62.28211168893516,-0.03605697921898068,20.00430213099704,-177.451281141516
66.22622429651821,-0.05457137368716534,19.99822570687333,-177.9666838002292
70.42010403369042,-0.05550845962765943,19.99273348025356,-178.3121282402929
74.87956779647621,-0.04377144188760788,19.99504891454593,-178.5666532422566
79.62143411069947,-0.03428287743791649,19.99025255365088,-178.8491406192246
84.66358656176422,-0.03554441852708784,20.01422225410645,-179.0844111221932
90.02504124122673,-0.05370692344453556,19.99818599927192,-179.451834070881
95.7260184645276,-0.02394878791392868,19.99564985651631,-179.5129422779625
101.7880190303619,-0.03423753369200461,19.98361204663155,179.9580117436788
108.2339053092928,-0.07819394051993014,20.02045329212804,179.6255881032873
115.0879874674313,-0.04297453193480644,20.00707774193963,179.5254787694195
122.3761151503644,-0.0366634238736729,20.0045913463897,179.3066836042536
130.1257749731115,-0.04655511581192495,19.99341905404393,178.9051837724077
138.3661941837873,-0.01620769926035736,20.0031157075766,179.050912477532
147.1284508919283,-0.07187607696434059,19.95796534871762,178.5962828247808
156.4455912772006,-0.01707691262672013,19.99868477345301,178.4147464839039
166.3527542205342,-0.03152786744126251,20.00115808583354,177.7262964859773
176.88730382772,-0.03986526254618151,20.00467382464407,177.6009302550642
188.0889703452705,-0.04854117373207131,20.00263100476796,177.434882864427
200,-0.02721078569570039,19.98916563027962,176.9028201515491
212.6653143274323,-0.05047651490851787,19.98023061766835,176.7083638328962
226.1326795899277,0.00474639291806761,19.97937746232647,176.2893516628821
240.4528869234826,-0.04908248645189795,19.95548025315459,176.0931843551695
255.6799438926046,-0.01016739282485625,19.98094573833061,175.5543261666699
271.8712781757051,-0.02218837864867394,19.96608585874102,175.30972872316
289.0879541491856,-0.06871240008119814,19.96720114935435,175.1131819029654
307.3949031870542,-0.01995225893518043,19.98557147218424,174.379062900945
326.8611685446275,-0.04143986153221967,19.95218661377825,173.9977236744169
347.5601657498752,-0.004410315072038323,19.97638446798322,173.6711190264905
369.5699594844581,-0.09323972023335395,19.93105118936913,173.1257212449366
392.9735579986936,-0.09222836065815784,19.93656783890576,172.8444773271061
417.8592261708077,-0.005431075276509946,19.93461935425183,172.104639273926
444.3208183911623,-0.04394311530132231,19.88899277989356,171.4879569845139
472.4581325268925,-0.05799136315855388,19.91147523744971,171.1484154834855
502.3772863019159,-0.00135273018943773,19.89252080918981,170.1888563291003
534.1911175117971,-0.05468972033317705,19.87167967637853,169.6705851293992
568.0196095828428,-0.06063673393456638,19.83470345501681,169.1654283961355
603.9903440804032,0.009487480580988967,19.81453315538006,168.2506852220896
642.2389818729647,-0.01754174934345442,19.78933330919833,167.4791715855299
682.9097747667201,-0.0673054716877306,19.80468321413995,166.6194497837936
726.1561095402028,-0.01924252778111136,19.72022709430179,165.8707143485639
772.1410864307622,0.008651021704546728,19.69157082088007,164.9760995978864
821.0381342546157,-0.07931418786607794,19.66874765189928,163.9853064613114
873.0316644803322,-0.04279860365184146,19.65687379986844,162.8350390529197
928.3177667225555,-0.0273197660384853,19.546471352233,161.9399263721572
987.1049482789613,0.02004592209215515,19.53469093370665,160.7754294446993
1049.614920499546,-0.07354191776770468,19.47144403553508,159.6579973181223
1116.083434953993,-0.007265624368171732,19.37427520926599,158.7050048417902
1186.761172550656,0.01881447086169433,19.2919295061539,157.1983406503062
1261.914688960386,-0.06636245508065307,19.2460948123226,155.9281715175591
1341.827419910822,-0.03836293635478454,19.12560905667946,154.7212755758266
1426.800750142513,0.01899737326737092,19.04798445735499,153.3377251205537
1517.155150058367,-0.04147639937308698,18.92360042737371,151.9720473240599
1613.231384353227,-0.05980721757970864,18.78124229218366,150.1634841725628
1715.391797181788,0.01778974704934376,18.66855019396522,148.9043908321312
1824.021678711819,0.1154938431271703,18.41718895776434,147.2458258549593
1939.530718216499,-0.07225878393217364,18.3694651512843,145.4063361156162
2062.35454918611,0.007339640265507808,18.13535588811967,143.9621557134867
2192.95639228637,-0.05182043283758134,17.94554857299389,142.1273128049743
2331.828802359665,-0.06243684825052825,17.75435478367663,140.3585898536937
2479.495526057888,-0.07401031933791864,17.52779301789876,138.6316498055684
2636.513477112815,-0.0799563506064571,17.31909294078825,136.7001335960149
2803.474836693539,-0.001395099617345408,16.99769768663974,134.9382952727084
2981.009286772392,-0.06369811771263492,16.7937650628457,133.2758560515729
3169.786384922229,-0.05235202484268657,16.48445863339788,131.376475640641
3370.518089501502,0.007093300326800119,16.17156645570645,129.8175205660392
3583.961444750668,0.02323915253219457,15.85979440768681,128.0792870235519
3810.921435926492,0.01831361697465074,15.48416091445462,126.1480680362994
4052.254025242287,-0.03265716051047093,15.16990334356283,124.4154768864677
4308.869380063769,-0.005984356173235591,14.78527982605208,122.8315285295741
4581.735305535545,-0.09238069471911539,14.43589752835524,121.0836590872343
4871.880894584054,0.05059882331150226,13.94794457703403,119.271030132328
5180.400409062651,-0.07961998798579457,13.62923302677053,118.3178578623473
5508.457406676333,-0.005734725007916766,13.19455161752551,116.4904629132939
5857.289129250475,-0.02446646547979735,12.77217377925606,115.767397544711
6228.211168893517,0.01710261522916006,12.30208001148213,113.808174879885
6622.622429651822,0.004628448215694127,11.85560905409432,112.9336203336428
7042.010403369042,-0.01569258103932546,11.45930371803158,111.148733794535
7487.956779647621,-0.05282613706179457,11.00385153302979,110.1591551880146
7962.143411069947,0.1170950617349553,10.44733117279877,109.2236136625563
8466.358656176413,0.07096660163431251,9.970042620976811,107.6833164463561
9002.504124122674,-0.01240190042555656,9.486636736157404,106.5000111190617
9572.601846452771,0.0520732120613205,9.028817719227639,105.6016525512913
10178.80190303618,0.1324823355718944,8.518644165071606,104.8453114594397
10823.39053092927,0.003266320376211756,8.05788761714474,103.7538610064587
11508.79874674313,-0.01765513332518068,7.603201076825965,102.8200249165627
12237.61151503644,-0.01568162732124843,7.124937143171651,102.2172689927003
13012.57749731115,0.111877981168797,6.556968072868448,101.4825978343765
13836.61941837873,-0.01093804707043263,6.069108678997889,101.0949978672176
14712.84508919283,0.02558002933650557,5.522039969477044,100.0887967126569
15644.55912772006,0.01138301698407412,5.063474275117215,99.2225688745456
16635.27542205342,0.008908016427908925,4.583737217746004,98.28073939226515
17688.730382772,0.06574909587746898,3.992600001836062,97.65873935416036
18808.89703452703,0.1188352054455018,3.4245521799464,96.77198277395894
20000,0.06542801065516002,2.973624348559412,96.76450901326857
