Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2,-0.1374554207125119,13.45587400561954,-118.2158844924317
2.116848589847702,-0.1194693846703525,13.7983993205543,-119.5214070987735
2.240523976170099,-0.1279125050763405,14.17653901891007,-120.8838311702037
2.371425009737823,-0.1245847841143344,14.5413863479917,-122.4803751335986
2.509973843896539,-0.1451839546526842,14.89160885931458,-123.8024076708444
2.656617296003502,-0.1132841765679782,15.20184398250962,-125.4732328502075
2.811828288405013,-0.1228901374662158,15.52973248312307,-126.9828908687286
2.976107373602012,-0.1390751747801625,15.84574407911053,-128.3817463948211
3.149984348522383,-0.1167901835806433,16.12924119001975,-129.9701627247063
3.334019963105972,-0.1306844263922073,16.42410365297024,-131.4959453574753
3.528807728712478,-0.1274160608942486,16.69656720085948,-133.2459307086333
3.73497583218434,-0.1276188703250039,16.94832407988191,-134.6367016931461
3.953189161737329,-0.1344331040208901,17.17755501200421,-136.4215021964992
4.184151451212442,-0.1283970427053064,17.41760331514896,-137.9353946212679
4.428607549604136,-0.1176210740234577,17.62992799294206,-139.6081271476916
4.6873458231842,-0.103510934953204,17.81388143090587,-141.2990054972793
4.961200697967995,-0.1232128579680601,18.03323630516631,-142.7029524883343
5.251055350722486,-0.1177574350361916,18.1915251426346,-144.290727508491
5.557844557194561,-0.1180673012100971,18.34887171717554,-145.6672920002401
5.882557706745017,-0.1312936377885261,18.50795730848535,-147.2159521316276
6.226241993110452,-0.1394516315912563,18.66801175757334,-148.7959387553072
6.590005791583208,-0.1358382410568433,18.78130910656596,-150.0799159253189
6.975022233500551,-0.1209247354248236,18.90932895301994,-151.3612236171517
7.382532989570996,-0.1220167044016171,19.00486294854316,-152.8688614107544
7.813852274238751,-0.1153074482324218,19.11329777507984,-154.2457146275755
8.270371084000271,-0.1331074461006122,19.21242196041906,-155.3519085223404
8.753561683341598,-0.1142621311447644,19.29122588119196,-156.7848540842615
9.264982352763258,-0.1039714822297737,19.34817543230451,-157.6667257967661
9.806282414205373,-0.1053426510710588,19.40963313828555,-159.0206086806123
10.37920755007948,-0.1214046639452545,19.47736059070225,-160.1456392272096
10.98560543306117,-0.1316114205886024,19.5793017183091,-160.9810526607327
11.6274316847994,-0.1159142333984112,19.60233336543724,-162.0986785083248
12.30675618275906,-0.1235502265452096,19.65776798277233,-162.9025840965775
13.02576973553648,-0.1149613734270921,19.69718143418453,-163.7544283464657
13.78679114817564,-0.1285274619046376,19.72453041672554,-164.6812797241244
14.59227470027019,-0.1307534615143651,19.76931231932451,-165.5981892568535
15.4448180609686,-0.1277144161654015,19.79747980783763,-166.4102492460783
16.34717066640785,-0.1050976809221826,19.78929735240508,-167.0577273127702
17.30224258659261,-0.1257305462605403,19.85753713625229,-167.6865382833918
18.31311391031569,-0.1362508703709423,19.89532240383579,-168.5808084553088
19.38304467838602,-0.1230081860316716,19.91005680932603,-169.2892245050374
20.51548539719823,-0.1187572659647791,19.94052969777213,-169.6708200194091
21.71408816655009,-0.1266253008699486,19.90032911334752,-170.4923376514338
22.98271845759509,-0.1295642740904431,19.95374739510624,-170.7841773885976
24.32546757891348,-0.1198676856593406,19.9533146670553,-171.5694357278327
25.74666587090449,-0.116389464597562,19.94414451848811,-171.8874399752212
27.25089667105204,-0.1097210288990742,19.98469300976276,-172.592560168117
28.84301109510097,-0.1159134895324881,19.9840804190266,-172.9812655214913
30.52814368181305,-0.1196277051524719,19.99938339340707,-173.3405091097289
32.31172895175695,-0.09676059797974138,19.98931859949861,-173.8490475106737
34.19951893353393,-0.1232340492369238,20.02898295782963,-174.3629106466318
36.19760171396057,-0.1124329489861562,20.00556473320621,-174.6873181023068
38.31242107203306,-0.1113106652885893,20.00891402727652,-175.0918302786387
40.55079725999223,-0.1018898101081865,20.023599845305,-175.3069167327379
42.9199489985073,-0.130151095267405,19.92475097279783,-175.702264910149
45.42751675691277,-0.08439129668140589,20.08839780733909,-177.2114364752753
48.08158739357678,-0.08937602144045792,20.2636663424108,-175.9714669651655
50.89072023586601,-0.1155301953772874,20.02793713329343,-174.8990052805327
53.86397468381343,-0.1646692865901153,19.29273858135343,-176.6377613300343
57.01093942651134,-0.1162303692932426,20.09651825702957,-178.3019403598848
60.34176336545162,-0.1228025303726342,20.06817346813952,-177.2625103398981
63.86718834454005,-0.1394574186345864,20.05855926863572,-178.0180343354552
67.59858379233852,-0.128275369690422,20.06956551816731,-177.9535596351468
71.54798338825668,-0.153602019191008,20.08734080410271,-178.3544518411116
75.72812387093904,-0.1150601978358022,20.0600966951151,-178.419660599936
80.15248611400462,-0.1247859382860358,20.06750171193374,-178.8297728601588
84.83533860160898,-0.1558909696989748,20.12519721597101,-178.9299995752596
89.79178344403424,-0.118167851638924,20.14320111653297,179.5297978623752
95.03780508170705,-0.1322644055141492,19.93264159446575,-179.292328064427
100.5903218347161,-0.1119607053279458,20.20636613252193,179.9850196425508
106.4672404640726,-0.1561452823942354,19.96544910245505,-179.1851923726754
112.6875139206741,-0.1224244741805323,20.00402206238315,178.8955915502082
119.271202468211,-0.09290351889786706,20.10446321046813,179.5816092589625
126.2395383771361,-0.130138457571407,20.06943959952322,179.4209145771408
133.6149943983328,-0.1581404535105943,20.06142598179888,179.0065470452085
141.4213562373095,-0.134090338150971,20.05892854512106,179.0367388860353
149.683799262649,-0.1102842965718408,20.11436715418457,178.6560317626282
158.4289696960925,-0.08904265311464139,19.98271098728601,178.0519499495138
167.6850705460988,-0.1050790587981946,20.09663796605032,177.8363838377298
177.4819525620107,-0.1231774285386618,20.0969745504829,177.6731627899464
187.8512105021545,-0.1324481833642853,20.10375344479577,177.4118591119857
198.8262850263348,-0.1272401045486002,20.07656429369719,176.925323394614
210.4425705413268,-0.1413888409719251,20.04010308101957,176.9356877484733
222.7375293471667,-0.08016137828963238,20.02339874345491,176.1945405288236
235.7508124523555,-0.1087529990777403,20.05657516738236,176.2123283215956
249.5243874476091,-0.1535394214274421,20.05211253906692,175.8457546107093
264.1026738505415,-0.1276155003616189,20.05730490699186,175.4303682180285
279.5326863577629,-0.1388207814003869,20.03098966797765,175.3330052696945
295.8641864663853,-0.1220278848201625,20.00362072396388,174.6258939891487
313.1498429539026,-0.1386797155488976,20.04054082709028,174.4012202700434
331.4454017339986,-0.0911924932434356,20.00962444823957,173.8871631952939
350.8098656360601,-0.140110756511899,20.01330000471816,173.4550985321767
371.3056846881775,-0.1751555982803721,20.03467395593878,172.8434084620684
392.9989575173018,-0.1314893964838851,20.01775727319458,172.8397531078355
415.9596445160589,-0.1485907490088192,19.98565884835219,172.0306676802625
440.2617934636848,-0.1404434291671185,19.99000448019437,171.7056740960919
465.9837783287106,-0.1076008594664177,19.95871703453866,171.0891661265029
493.2085520235173,-0.1025443533843244,19.94231139687604,170.4750870657598
522.0239139259047,-0.1228726579939532,19.92106494484748,170.0701617146233
552.5227930304147,-0.1307137344264049,19.92960523233792,169.3160688241516
584.8035476425731,-0.1688762718085252,19.88944911393374,168.7171834359521
618.970282582557,-0.1542522456942497,19.87207846079818,167.7569891374161
655.1331849212596,-0.1175826749880435,19.8525362786901,166.8926132904571
693.4088793315008,-0.1481090181473643,19.86769445817182,166.6677958130404
733.9208042003813,-0.1147867205421307,19.79444139053203,165.8494919106539
776.7996097157333,-0.1243872977764924,19.77880688279308,165.1332642733004
822.183579210498,-0.1480410699752254,19.73506240870431,163.846395210101
870.2190751238394,-0.1380858108147326,19.6929449257667,162.9423876921287
921.0610110172344,-0.1342394121638635,19.6438356682184,162.1370281418946
974.8733511677659,-0.1122782020190959,19.58077155098915,160.8235673244574
1031.829639349793,-0.1605194395872793,19.60202360955264,160.2319830564056
1092.113558510337,-0.1239682606129021,19.52787559159268,158.7563892382193
1155.919523143081,-0.1427272764423823,19.41145955385262,157.9094537994314
1223.453306271428,-0.1987166018033889,19.3728191270067,156.4791815515853
1294.932703062591,-0.1359189382924214,19.23759862657923,155.1864144459913
1370.588233212859,-0.1841439055196355,19.17310651334585,154.4287638035717
1450.663884369246,-0.1294337754487649,19.09747246936243,153.0437525215999
1535.417898985014,-0.1815077278704479,18.98633465882512,151.7717250273352
1625.123607146673,-0.1068539964946507,18.86999036196936,149.986381492416
1720.070308058323,-0.1376027129312932,18.70487250232821,149.0242985597639
1820.564203026081,-0.150049016068414,18.52206350767835,147.1124699372533
1926.929382951481,-0.1696106267491111,18.42724893869407,145.5747598336556
2039.508873518472,-0.1177693385212187,18.2836249270073,144.1586163242942
2158.665741444725,-0.1433645777429272,18.07037684505269,142.4173533799771
2284.784265364905,-0.150871687331601,17.92690222696581,140.7027902422034
2418.271175121958,-0.106860327141623,17.67242512388044,139.3202254489347
2559.556963463128,-0.144981905458001,17.44546190948711,137.6150693143352
2709.097274370895,-0.1152225016779657,17.24143202333965,136.0317553638147
2867.374372506141,-0.1304612559674615,16.97203146591632,134.5081785042775
3034.898698502529,-0.02029402645340485,16.73306801511231,132.6928852158642
3212.210515127852,-0.02347847278445319,16.4642223863184,130.9171354522531
3399.881649621174,-0.1340968721464322,16.21482401423129,129.3670113186304
3598.517337824831,-0.09449540550107241,15.85903482077383,127.8960732588839
3808.7581760585,-0.07810940323290598,15.55765232008467,126.2459287493612
4031.282187030167,-0.183322859866636,15.30485504906492,124.5308331149265
4266.807006446485,-0.1565492583582943,14.92452433428485,123.1135495102899
4516.092197374263,-0.1071391340260704,14.57581535835719,121.4196202887855
4779.94169981696,-0.09913075607265465,14.21072753635397,120.12049370881
5059.20642340588,-0.04385026625265333,13.8538627898677,118.6217738608001
5354.78699156758,-0.1507321330533662,13.45802010957389,117.0429958274017
5667.636646017327,-0.1009734372881968,13.06479426462166,116.2321064703652
5998.764320945462,-0.06884874528974663,12.65296342770391,114.3933774891471
6349.237896811055,-0.04648011365894108,12.25558424745181,113.4518997939682
6720.187644236035,-0.1611189211353383,11.85716255003346,112.3848767102361
7112.809869106494,-0.03523634195541852,11.35807438661008,111.0491757357295
7528.37077063645,-0.06871953087383002,10.95687080043054,109.8028072606803
7968.210524836213,-0.02410075102888291,10.50065130635723,108.8064612265642
8433.747606554571,-0.1287895365172605,10.12323453617084,108.1692649702844
8926.483364033238,-0.03241019168566038,9.681360501783548,106.9657214312048
9448.006860726357,-0.06326512247121328,9.233297217966236,106.0619819898686
10000,-0.1038328181469032,8.81265888315091,104.9671008015147
